Fund,N,EVaR_99,EVaR_99_1y,Source
FMCSX,7824,-0.0830320340484632,-0.53308807946726,Fidelity_mutual_funds20240430
FMDGX,1455,-0.0976706076830729,-0.700804114190268,Fidelity_mutual_funds20240430
FMHTX,9942,-0.0249710107862299,-0.0798673295600473,Fidelity_mutual_funds20240430
FMILX,8141,-0.0829561896331758,-0.557479875958939,Fidelity_mutual_funds20240430
FMNDX,2896,-0.0046763422551962,-0.0086367459378744,Fidelity_mutual_funds20240430
FMRAX,1425,-0.043572157798828,-0.277575813246966,Fidelity_mutual_funds20240430
FMRTX,489,-0.0251329461677153,-0.185677211483893,Fidelity_mutual_funds20240430
FMSDX,1804,-0.0422650626232457,-0.259624686160297,Fidelity_mutual_funds20240430
FMSFX,10161,-0.0135444964082339,-0.075226832851592,Fidelity_mutual_funds20240430
FMWIX,807,-0.0183848170989199,-0.197964818503599,Fidelity_mutual_funds20240430
FNARX,7086,-0.140076766992562,-0.845069434037451,Fidelity_mutual_funds20240430
FNBGX,1896,-0.046305112509328,-0.46126667377867,Fidelity_mutual_funds20240430
FNCMX,5613,-0.0945659163822614,-0.573328682605811,Fidelity_mutual_funds20240430
FNDSX,1725,-0.0145017180971665,-0.151601463407627,Fidelity_mutual_funds20240430
FNIDX,2005,-0.0829934628929637,-0.488455813363411,Fidelity_mutual_funds20240430
FNILX,1654,-0.0942507940611992,-0.547798834384348,Fidelity_mutual_funds20240430
FNJHX,9403,-0.020100947419512,-0.0700795791268748,Fidelity_mutual_funds20240430
FNMIX,8053,-0.0752598228321156,-0.278928973219435,Fidelity_mutual_funds20240430
FNORX,7420,-0.0854194631382473,-0.611941910661395,Fidelity_mutual_funds20240430
FNSOX,1885,-0.00645840319303794,-0.0556614154645226,Fidelity_mutual_funds20240430
FNSTX,1377,-0.102853233675282,-0.557226203501356,Fidelity_mutual_funds20240430
FOCPX,10161,-0.100382109156656,-0.579324890644541,Fidelity_mutual_funds20240430
FOHFX,9939,-0.0205295635297952,-0.0771124558825171,Fidelity_mutual_funds20240430
FOSFX,10179,-0.0761745771616403,-0.478616618345853,Fidelity_mutual_funds20240430
FPADX,3429,-0.0752257449656141,-0.518110234450999,Fidelity_mutual_funds20240430
FPBFX,9720,-0.0856813825907201,-0.503458075923513,Fidelity_mutual_funds20240430
FPHAX,6002,-0.062721284724092,-0.455419779973549,Fidelity_mutual_funds20240430
FPIFX,3916,-0.0384720456490107,-0.219932417788906,Fidelity_mutual_funds20240430
FPURX,11425,-0.079930768369687,-0.290293440485971,Fidelity_mutual_funds20240430
FPXTX,9758,-0.0228323282200311,-0.080947621578622,Fidelity_mutual_funds20240430
FQIFX,3916,-0.0437692907933029,-0.25347430872089,Fidelity_mutual_funds20240430
FRAGX,807,-0.0414564932806878,-0.413040165900143,Fidelity_mutual_funds20240430
FRBDX,204,-0.0530078604335853,-0.51172887474422,Fidelity_mutual_funds20240430
FRBUX,202,-0.0505476922900008,-0.481766086789137,Fidelity_mutual_funds20240430
FRBVX,202,-0.0505554647894314,-0.483403326548912,Fidelity_mutual_funds20240430
FRBYX,202,-0.0533148911300889,-0.524128088388494,Fidelity_mutual_funds20240430
FRCQX,202,-0.0526270043591353,-0.53257209319983,Fidelity_mutual_funds20240430
FRESX,9687,-0.129390723769379,-0.646006500903907,Fidelity_mutual_funds20240430
FRGAX,805,-0.0342412465877331,-0.350158133387672,Fidelity_mutual_funds20240430
FRIFX,5613,-0.0806402641437114,-0.26754208092857,Fidelity_mutual_funds20240430
FRYBX,807,-0.0252067228776801,-0.269213992822291,Fidelity_mutual_funds20240430
FSAGX,9919,-0.108311355776144,-0.896659667762456,Fidelity_mutual_funds20240430
FSAHX,2877,-0.0222604052125717,-0.104147286878498,Fidelity_mutual_funds20240430
FSANX,4415,-0.0524376208530616,-0.333589049174856,Fidelity_mutual_funds20240430
FSAVX,9784,-0.109415673691854,-0.634474936245903,Fidelity_mutual_funds20240430
FSAZX,7689,-0.019970506119021,-0.0756201166291117,Fidelity_mutual_funds20240430
FSCHX,10016,-0.159744803096872,-0.592458638734931,Fidelity_mutual_funds20240430
FSCOX,4966,-0.0779549467540598,-0.55200556068465,Fidelity_mutual_funds20240430
FSCPX,8772,-0.090372052945735,-0.518002795366099,Fidelity_mutual_funds20240430
FSCRX,6184,-0.0957148724602788,-0.597344359383135,Fidelity_mutual_funds20240430
FSCSX,10016,-0.142023209080139,-0.661325914269398,Fidelity_mutual_funds20240430
FSDAX,10325,-0.106596352672416,-0.497807815074505,Fidelity_mutual_funds20240430
FSDIX,5370,-0.068505720778874,-0.42120900812469,Fidelity_mutual_funds20240430
FSDPX,9721,-0.193230848825392,-0.678449815011287,Fidelity_mutual_funds20240430
FSEAX,8064,-0.0815611771295538,-0.592010576506884,Fidelity_mutual_funds20240430
FSEBX,973,-0.0506865101840602,-0.528493040602955,Fidelity_mutual_funds20240430
FSELX,10016,-0.178785894138743,-0.870827275458339,Fidelity_mutual_funds20240430
FSENX,11039,-0.14739478623334,-0.763139096484369,Fidelity_mutual_funds20240430
FSGGX,3429,-0.0784562984128246,-0.457250943628905,Fidelity_mutual_funds20240430
FSHBX,9731,-0.00773269760560959,-0.0273324126031131,Fidelity_mutual_funds20240430
FSHCX,9784,-0.106730965378029,-0.584240689330734,Fidelity_mutual_funds20240430
FSHOX,9721,-0.141801699465602,-0.609978597006265,Fidelity_mutual_funds20240430
FSIKX,757,-0.0130857143198571,-0.08995418853412,Fidelity_mutual_funds20240430
FSKAX,3430,-0.0879683445928927,-0.433096998906542,Fidelity_mutual_funds20240430
FSLBX,10016,-0.181287122709933,-0.714520264411008,Fidelity_mutual_funds20240430
FSLCX,6826,-0.0976516799360746,-0.613233239405164,Fidelity_mutual_funds20240430
FSLEX,9025,-0.0764560794983514,-0.546342344508051,Fidelity_mutual_funds20240430
FSLSX,10414,-0.0996648463790198,-0.539068139691826,Fidelity_mutual_funds20240430
FSLVX,5900,-0.0863960019002739,-0.551248333708411,Fidelity_mutual_funds20240430
FSMAX,3430,-0.103574932710629,-0.566847303871752,Fidelity_mutual_funds20240430
FSMDX,3429,-0.0944215237174447,-0.478005153506983,Fidelity_mutual_funds20240430
FSMEX,6794,-0.0797497517313159,-0.478365113014289,Fidelity_mutual_funds20240430
FSMVX,5900,-0.0899553878290784,-0.593975138869357,Fidelity_mutual_funds20240430
FSPCX,9919,-0.117613590595098,-0.547166950989463,Fidelity_mutual_funds20240430
FSPGX,2230,-0.0926878304998106,-0.520279111301182,Fidelity_mutual_funds20240430
FSPHX,11039,-0.135903969255614,-0.480271935792129,Fidelity_mutual_funds20240430
FSPSX,3430,-0.0808465317218667,-0.459709123249993,Fidelity_mutual_funds20240430
FSPTX,11039,-0.181414595910296,-0.744125156979613,Fidelity_mutual_funds20240430
FSRBX,9784,-0.125943709701124,-0.751142593664978,Fidelity_mutual_funds20240430
FSRFX,9721,-0.108002721083694,-0.552656553156178,Fidelity_mutual_funds20240430
FSRNX,3429,-0.133322311402008,-0.614775326650083,Fidelity_mutual_funds20240430
FSRPX,9919,-0.118276882360354,-0.534451179214181,Fidelity_mutual_funds20240430
FSRRX,4940,-0.0334745122967627,-0.189800398491172,Fidelity_mutual_funds20240430
FSSMX,3243,-0.102268973188878,-0.522808732637837,Fidelity_mutual_funds20240430
FSSNX,3429,-0.103398309991987,-0.611872636432996,Fidelity_mutual_funds20240430
FSTCX,10016,-0.0964404931370023,-0.563813769603496,Fidelity_mutual_funds20240430
FSTFX,9660,-0.011116149166283,-0.0274454360154552,Fidelity_mutual_funds20240430
FSTGX,9320,-0.00871460218303791,-0.0567731568577578,Fidelity_mutual_funds20240430
FSUDX,483,-0.0115854013285385,-0.0973719378491995,Fidelity_mutual_funds20240430
FSUTX,10934,-0.0847018255269054,-0.413644493419587,Fidelity_mutual_funds20240430
FSUYX,481,-0.0141013731737266,-0.117517776824229,Fidelity_mutual_funds20240430
FSVLX,9919,-0.113435983732492,-0.654684949296646,Fidelity_mutual_funds20240430
FSVNX,481,-0.0185844538950702,-0.146426692137234,Fidelity_mutual_funds20240430
FSWDX,479,-0.0229058166267265,-0.17289487734783,Fidelity_mutual_funds20240430
FSWOX,481,-0.0272370921434582,-0.197638863985048,Fidelity_mutual_funds20240430
FSXAX,481,-0.0305870997690289,-0.213770953992012,Fidelity_mutual_funds20240430
FSXKX,481,-0.0351606866622346,-0.238453738953164,Fidelity_mutual_funds20240430
FSXVX,481,-0.0437618561245377,-0.286588613285459,Fidelity_mutual_funds20240430
FSYHX,481,-0.0472455984976147,-0.308354612992937,Fidelity_mutual_funds20240430
FSYJX,806,-0.0492936693797047,-0.632336098516286,Fidelity_mutual_funds20240430
FSYRX,806,-0.0544747120616332,-0.529232662384943,Fidelity_mutual_funds20240430
FSYWX,481,-0.0472050343226396,-0.30784290453835,Fidelity_mutual_funds20240430
FSZHX,481,-0.0478419695496843,-0.308724000780612,Fidelity_mutual_funds20240430
FSZSX,481,-0.0478673783932569,-0.308478633142135,Fidelity_mutual_funds20240430
FTABX,6049,-0.0224421803498607,-0.0855317619244036,Fidelity_mutual_funds20240430
FTANX,4415,-0.0273534676357733,-0.162286708481435,Fidelity_mutual_funds20240430
FTBFX,5670,-0.0151712626765132,-0.0890145441225298,Fidelity_mutual_funds20240430
FTFMX,10282,-0.0227176876733731,-0.0828759632633732,Fidelity_mutual_funds20240430
