Fund,N,AnnReturn,CAGR,Flag,ETL_1,ETL_5,mu,omega,alpha1,gamma1,beta1,skew,shape
FOSFX,10179,0.0909532941617541,0.0772285855059989,0,-0.455635380182212,-0.311478903480811,0.000421910859071567,-0.161494732099021,-0.0558811486777005,0.167615594519294,0.982775434133161,-0.674458425371354,8.02
FPADX,3429,0.0297734714803716,0.0144720712607527,0,-0.400640889473406,-0.308545484045287,7.90386617677836e-05,-0.259547646148024,-0.0868205017573852,0.135562022539079,0.971868384696963,-1.23517446343534,10.5463114023536
FPBFX,9720,0.0693796623138926,0.0539798004828473,0,-0.514177721164603,-0.357615366652297,0.000398991870932491,-0.202008623782259,-0.0598540472892207,0.179225835139003,0.978295183277381,-0.655676047641442,8.02000000000001
FPHAX,6002,0.0824263216118573,0.069484059777946,0,-0.360716887199021,-0.260524815541649,0.000256173197700012,-0.266613855719753,-0.102929990895066,0.138337320052768,0.971248309601017,-0.943724100409346,9.94459311798183
FPIFX,3916,0.0629341994153085,0.0606300267855908,0,-0.210227692275502,-0.1352685873586,0.000213686051393643,-0.24335744735693,-0.129616013789035,0.14778833693188,0.97729407446482,-1.03831205230651,8.02
FPURX,11425,0.09298990843169,0.0902123928178347,0,-0.188364659300345,-0.104905148369754,0.000453207524689441,-0.210028100085364,-0.0529511694496562,0.129683074515019,0.979788278395369,-0.847346593302906,8.02
FPXTX,9758,0.0475474565362283,0.0478683155706359,0,-0.0839289190565983,-0.0442185794036866,0.000254326250334798,-0.281546581514066,-0.0591125214511753,0.190302493988146,0.977786079563012,0.824207596340524,8.02
FQIFX,3916,0.0690481896961306,0.0658320356873665,0,-0.232775171481644,-0.151073903132132,0.000228269827632811,-0.250673133222222,-0.135362100927474,0.151171983148594,0.976027446546377,-1.0576889359339,8.02
FRAGX,807,0.0504301613485509,0.0396403920514932,0,-0.289294927344577,-0.202401991048486,0.000217233698477657,-0.143826230097854,-0.116979864217147,0.02359367391687,0.985007893506585,-1.36729072694841,11.2461022429816
FRBDX,204,0.0281731147198272,0.0125990247292025,0,-0.685318146130059,-0.482117263312037,-0.0006343876119872,-0.107718104623627,-0.365740509595703,-0.337919154736016,0.990451300721381,-4.1944382791082,8.09549604815861
FRBUX,202,0.0315883943801729,0.0175778097638286,0,-0.825727031124751,-0.665120658261599,-0.00108578340415706,-0.382169203110697,-0.511119051883944,-0.281008580426543,0.957426175944194,-4.39864468416428,8.02
FRBVX,202,0.0313493015470649,0.0172254944121302,0,-0.824376954246064,-0.659315188427587,-0.00103295581822824,-0.395613692379312,-0.51569608975835,-0.268051166678558,0.956126324438275,-4.28982530572469,8.02
FRBYX,202,0.0165536746819555,0.000859521535766072,0,-0.802399050193715,-0.667559845148237,-0.00137932297296632,-0.362445114613375,-0.490878586807815,-0.348177138905221,0.959490867781839,-5.02165994100258,8.02
FRCQX,202,0.0108562852380994,-0.0050847682738987,0,-0.764845376333556,-0.616215355613112,-0.0010690280780089,-0.311868434253623,-0.457457783496347,-0.326580078989798,0.966262474573068,-4.08509878835664,8.02
FRESX,9687,0.0881604012157383,0.0636804681433196,0,-0.534383133558651,-0.360629258659115,0.000386917153367555,-0.0814415248553649,-0.0274077808288581,0.214975980990428,0.991523780671513,-0.445047992052159,8.02
FRGAX,806,0.0430853236295765,0.0354573581320874,0,-0.253381780483036,-0.177342183373224,0.000189790525324389,-0.134075510312052,-0.106114256572673,0.0151025352046472,0.986477087415786,-1.06897072979547,11.1152496357973
FRIFX,5613,0.0601476395679898,0.0578720775956552,0,-0.343585870134003,-0.191577227685918,0.000378981622809446,-0.10807273540771,-0.0344046630709443,0.0992796482028259,0.990813663983613,-1.05741150656306,8.02
