Fund,N,AnnReturn,CAGR,Flag,ETL_1,ETL_5,mu,omega,alpha1,gamma1,beta1,skew,shape
FFIDX,11425,0.0913610573471689,0.0760531798070467,0,-0.412456514901428,-0.272196226878752,0.000359823146357885,-0.231194252311205,-0.0889260217340261,0.149250606636959,0.97530521246043,-0.224545549361828,1.5300739014816
FFIJX,1467,0.0859146907675038,0.0727644675568282,0,-0.424519261043453,-0.302422041870484,0.000207770695784522,-0.266630778784916,-0.145766987974434,0.158009025633532,0.971725412435869,-0.332454764409738,3.18529377687137
FFIKX,1467,0.0863027260437368,0.0731236723919706,0,-0.421107998128872,-0.299398727498888,0.000210268004157101,-0.269147036069659,-0.146973736628302,0.162007727819032,0.971475128427774,-0.333273826870146,3.05092715708761
FFIZX,2474,0.0823776481772037,0.073115010409728,0,-0.333881886612666,-0.224647337046449,0.000269593034714565,-0.284394309227107,-0.144801172810374,0.17770307859558,0.970887097709742,-0.286063593395047,2.51499045960322
FFLDX,2474,0.0833632709543472,0.0738901263972656,0,-0.334423136137476,-0.225694268934513,0.00027255249667416,-0.28528982590601,-0.145938181258246,0.180248398601256,0.970742827233078,-0.288547405212132,2.4502852692204
FFLEX,2474,0.0834759440147917,0.0739892424112467,0,-0.340070980665847,-0.230769536947761,0.000258780375371852,-0.286297523395574,-0.146932667830627,0.182699743244527,0.970591888212969,-0.29239364663597,2.47945854329494
FFNOX,6499,0.0610643823502439,0.0494632634979562,0,-0.402097120356389,-0.266697750998674,0.000243512715788686,-0.191599171687513,-0.132537702222035,0.132385368904208,0.980254135918143,-0.24472109111714,2.5425424970552
FFOLX,2474,0.083380684246145,0.0738796926422736,0,-0.339241501827764,-0.2299381759109,0.000262445233317529,-0.287042019487827,-0.147491407333214,0.178970475813698,0.970521629289961,-0.295302102203043,2.54818035632348
FFOPX,2474,0.0833906678859574,0.0738877134901272,0,-0.335095532922124,-0.225755696632983,0.000272251854832804,-0.283605165959482,-0.146495925264693,0.179107742635109,0.970897843247282,-0.290928349263673,2.52212037549939
FFRHX,6201,0.0378880216368898,0.0379876041913587,0,-0.0986891151775742,-0.069761348150507,3.30496560079292e-05,-0.0278520364291474,-0.0542737236594524,0.0567175734121009,0.99849830665437,0.217120373764146,0.25
