Date,SP500TR
2015-08-06,3860.919921875
2015-08-05,3889.9899902344
2015-08-04,3876.4399414062
2015-08-03,3885.0700683594
2015-07-31,3895.8000488281
2015-07-30,3904.6398925781
2015-07-29,3904.2099609375
2015-07-28,3875.3701171875
2015-07-27,3827.9299316406
2015-07-24,3850.1499023438
2015-07-23,3891.7900390625
2015-07-22,3913.75
2015-07-21,3922.6999511719
2015-07-20,3939.3500976562
2015-07-17,3936.2199707031
2015-07-16,3931.8500976562
2015-07-15,3900.5
2015-07-14,3903.3100585938
2015-07-13,3885.9699707031
2015-07-10,3843.1000976562
2015-07-09,3796.2600097656
2015-07-08,3787.669921875
2015-07-07,3850.6599121094
2015-07-06,3827.3500976562
2015-07-02,3842.0600585938
2015-07-01,3843.2600097656
2015-06-30,3815.8500976562
2015-06-29,3805.5
2015-06-26,3886.2099609375
2015-06-25,3887.0400390625
2015-06-24,3898.4699707031
2015-06-23,3927.2299804688
2015-06-22,3924.4099121094
2015-06-19,3900.6398925781
2015-06-18,3921.4299316406
2015-06-17,3882.4899902344
2015-06-16,3874.7299804688
2015-06-15,3852.75
2015-06-12,3870.5600585938
2015-06-11,3897.5900878906
2015-06-10,3889.6999511719
2015-06-09,3843.1599121094
2015-06-08,3841.4499511719
2015-06-05,3865.830078125
2015-06-04,3871.2299804688
2015-06-03,3904.830078125
2015-06-02,3895.8500976562
2015-06-01,3899.5900878906
2015-05-29,3891.1799316406
2015-05-28,3915.8200683594
2015-05-27,3920.1101074219
2015-05-26,3883.8798828125
2015-05-22,3924.1599121094
2015-05-21,3932.8999023438
2015-05-20,3923.1799316406
2015-05-19,3926.4099121094
2015-05-18,3928.1499023438
2015-05-15,3915.9899902344
2015-05-14,3912.5200195312
2015-05-13,3870.3601074219
2015-05-12,3870.6899414062
2015-05-11,3881.9299316406
2015-05-08,3901.0100097656
2015-05-07,3849.1298828125
2015-05-06,3833.6999511719
2015-05-05,3849.4099121094
2015-05-04,3895.1599121094
2015-05-01,3883.75
2015-04-30,3841.7800292969
2015-04-29,3880.8999023438
2015-04-28,3895.2099609375
2015-04-27,3884.1000976562
2015-04-24,3900.2399902344
2015-04-23,3891.4599609375
2015-04-22,3881.9299316406
2015-04-21,3862.1499023438
2015-04-20,3867.8200683594
2015-04-17,3832.330078125
2015-04-16,3876.169921875
2015-04-15,3879.1000976562
2015-04-14,3859.2199707031
2015-04-13,3852.9299316406
2015-04-10,3870.3100585938
2015-04-09,3850.2900390625
2015-04-08,3833.1999511719
2015-04-07,3821.4899902344
2015-04-06,3829.3100585938
2015-04-02,3804.1398925781
2015-04-01,3790.6599121094
2015-03-31,3805.2700195312
2015-03-30,3838.6499023438
2015-03-27,3791.8999023438
2015-03-26,3782.2099609375
2015-03-25,3791.1298828125
2015-03-24,3847.0500488281
2015-03-23,3870.4899902344
2015-03-20,3877.2600097656
2015-03-19,3842.6201171875
2015-03-18,3861.3898925781
2015-03-17,3814.9099121094
2015-03-16,3827.6201171875
2015-03-13,3776.4399414062
2015-03-12,3799.4299316406
2015-03-11,3751.1999511719
2015-03-10,3757.830078125
2015-03-09,3822.419921875
2015-03-06,3807.0400390625
2015-03-05,3861.2900390625
2015-03-04,3856.5100097656
2015-03-03,3872.7099609375
2015-03-02,3890.3200683594
2015-02-27,3866.419921875
2015-02-26,3877.8500976562
2015-02-25,3882.9499511719
2015-02-24,3885.2700195312
2015-02-23,3874.4599609375
2015-02-20,3875.6000976562
2015-02-19,3851.5300292969
2015-02-18,3855
2015-02-17,3856.0400390625
2015-02-13,3849.2900390625
2015-02-12,3833.3500976562
2015-02-11,3795.8200683594
2015-02-10,3794.6201171875
2015-02-09,3754.3601074219
2015-02-06,3770.1999511719
2015-02-05,3782.1101074219
2015-02-04,3742.8400878906
2015-02-03,3757.3400878906
2015-02-02,3703.7700195312
2015-01-30,3656.2800292969
2015-01-29,3704.3500976562
2015-01-28,3669.1000976562
2015-01-27,3718.9899902344
2015-01-26,3769.4499511719
2015-01-23,3759.7600097656
2015-01-22,3780.5100097656
2015-01-21,3723.6201171875
2015-01-20,3705.6398925781
2015-01-16,3699.7900390625
2015-01-15,3650.7399902344
2015-01-14,3684.7199707031
2015-01-13,3706.1499023438
2015-01-12,3715.3601074219
2015-01-09,3745.669921875
2015-01-08,3777.3999023438
2015-01-07,3710.9399414062
2015-01-06,3667.1398925781
2015-01-05,3700.0300292969
2015-01-02,3768.6799316406
2014-12-31,3769.4399414062
2014-12-30,3808.6899414062
2014-12-29,3826.9499511719
2014-12-26,3823
2014-12-24,3810.3898925781
2014-12-23,3810.7800292969
2014-12-22,3803.9399414062
2014-12-19,3788.9699707031
2014-12-18,3771.7199707031
2014-12-17,3682.6999511719
2014-12-16,3609.0600585938
2014-12-15,3639.9699707031
2014-12-12,3663.1000976562
2014-12-11,3723.3200683594
2014-12-10,3705.5100097656
2014-12-09,3758.8701171875
2014-12-08,3767.6999511719
2014-12-05,3794.6799316406
2014-12-04,3788.3400878906
2014-12-03,3792.6799316406
2014-12-02,3777.4699707031
2014-12-01,3753.3100585938
2014-11-28,3778.9599609375
2014-11-26,3788.419921875
2014-11-25,3776.9399414062
2014-11-24,3780.8798828125
2014-11-21,3770.0300292969
2014-11-20,3749.8701171875
2014-11-19,3742.3500976562
2014-11-18,3747.7399902344
2014-11-17,3727.8601074219
2014-11-14,3724.919921875
2014-11-13,3723.580078125
2014-11-12,3721.3000488281
2014-11-11,3722.8400878906
2014-11-10,3720.25
2014-11-07,3708.4599609375
2014-11-06,3706.4499511719
2014-11-05,3691.3798828125
2014-11-04,3669.1799316406
2014-11-03,3679.580078125
2014-10-31,3679.9899902344
2014-10-30,3637.3000488281
2014-10-29,3614.5300292969
2014-10-28,3619.1599121094
2014-10-27,3576.4699707031
2014-10-24,3581.8200683594
2014-10-23,3556.6999511719
2014-10-22,3513.4699707031
2014-10-21,3538.8999023438
2014-10-20,3470.8898925781
2014-10-17,3439.3898925781
2014-10-16,3395.6398925781
2014-10-15,3395.0300292969
2014-10-14,3422.4299316406
2014-10-13,3417.0100097656
2014-10-10,3474.2299804688
